URLs,Image name
https://rozetka.com.ua/ua/planshet-samsung-galaxy-tab-a9-plus-5g-8-128-256gb/g67331684/,August_28_Daily Draw_1_296х296
https://rozetka.com.ua/ua/jbl-jblcharge5wifiblk/p381991578/,August_28_Daily Draw_2_296х296
https://bt.rozetka.com.ua/ua/plein-sport-ppsdba0123/p405410637/,August_28_Daily Draw_3_296х296
https://rozetka.com.ua/ua/smart-chasy-apple-watch-se-2024-gps-midnight-aluminium-case-with-ink-sport-loop/g57355835/,August_28_Daily Draw_0_296х296
https://rozetka.com.ua/ua/hmd-fusion-8-256gb-noir/p454034585/,August_29_Daily Draw_1_296х296
https://www.ctrs.com.ua/televizory/ue32t4500auxua-samsung-664002.html,August_29_Daily Draw_2_296х296
https://rozetka.com.ua/ua/umb_powerplant_k2_50000_mah_grey_dv00fb0003/p6274515/,August_29_Daily Draw_3_296х296
https://rozetka.com.ua/ua/sjcam-6972476161049/p511896234/,August_30_Daily Draw_1_296х296
https://www.moyo.ua/ua/elektronnaya_kniga_pocketbook_634_azure/549396.html,August_30_Daily Draw_2_296х296
https://rozetka.com.ua/ua/vigorpool_vp11_eu/p361032927/,August_30_Daily Draw_3_296х296
https://rozetka.com.ua/ua/xiaomi-001011547942/p408833547/,August_31_Daily Draw_1_296х296
https://www.ctrs.com.ua/naushniki/naushniki-akg-k371-bt-719906.html,August_31_Daily Draw_2_296х296
https://rozetka.com.ua/ua/atria-wpd-101/p388620549/,August_31_Daily Draw_3_296х296
https://hard.rozetka.com.ua/ua/lenovo-67c0uac6ua/p459388719/,August_1_Daily Draw_1_296х296
https://rozetka.com.ua/ua/sjcam-6972476161049/p511896234/,August_1_Daily Draw_2_296х296
https://rozetka.com.ua/ua/apple-mxp93ze-a/p448744757/,August_1_Daily Draw_3_296х296
https://rozetka.com.ua/ua/anker-a1723311/p467479344/,August_2_Daily Draw_1_296х296
https://rozetka.com.ua/ua/pocketbook-pb700-u-16-ww/p354412131/,August_2_Daily Draw_2_296х296
https://rozetka.com.ua/ua/jbl_104set_btw/p310334368/,August_2_Daily Draw_3_296х296
https://bt.rozetka.com.ua/ua/7127384/p7127384/,August_3_Daily Draw_1_296х296
https://www.moyo.ua/ua/planshet_lenovo_tab_m11_wifi_8_128gb_luna_grey_pen_2024_/573794.html,August_3_Daily Draw_2_296х296
https://ktc.ua/goods/batareya_universalna_anker_prime_27650mah_250w_black__a1340011.html,August_3_Daily Draw_3_296х296
https://rozetka.com.ua/ua/blackview-6931548317128/p501161579/,August_4_Daily Draw_1_296х296
https://bt.rozetka.com.ua/ua/casio-gw-7900b-1er/p93053/,August_4_Daily Draw_2_296х296
https://rozetka.com.ua/ua/umb_powerplant_k2_50000_mah_grey_dv00fb0003/p6274515/,August_4_Daily Draw_3_296х296
https://www.ctrs.com.ua/elektronnie-knigi-1/pocketbook-700-era-stardust-silver-713481.html,August_5_Daily Draw_1_296х296
https://rozetka.com.ua/ua/akaso-brave-8/p439399085/,August_5_Daily Draw_2_296х296
https://rozetka.com.ua/ua/xiaomi-1017689/p412970757/,August_5_Daily Draw_3_296х296
https://hard.rozetka.com.ua/ua/lenovo-63b4gat6ua/p433923011/,August_6_Daily Draw_1_296х296
https://rozetka.com.ua/ua/xiaomi-1123261/p472952544/,August_6_Daily Draw_2_296х296
https://rozetka.com.ua/ua/tronsmart-995053/p411060945/,August_6_Daily Draw_3_296х296
https://rozetka.com.ua/ua/insta360-cinrsgp-e/p393187935/,August_7_Daily Draw_1_296х296
https://rozetka.com.ua/ua/vanguard-das301755/p397830969/,August_7_Daily Draw_2_296х296
https://www.moyo.ua/ua/fotoprinter_fujifilm_instax_link_wide_m_gray_ex_d_16719586_/510006.html,August_7_Daily Draw_3_296х296
https://rozetka.com.ua/ua/apple-mxp93ze-a/p448744757/,August_8_Daily Draw_1_296х296
https://rozetka.com.ua/ua/huawei-gt4-46-mm-green/p405124266/,August_8_Daily Draw_2_296х296
https://rozetka.com.ua/ua/polaroid-009160/p489121849/,August_8_Daily Draw_3_296х296
https://rozetka.com.ua/ua/polaroid_6000/p281517618/,August_8_Daily Draw_3_1_296х296
https://www.moyo.ua/ua/naushniki_sony_linkbuds_fit_wfls910nb_black_wfls910nb_ce7_/628995.html,August_9_Daily Draw_1_296х296
https://www.ctrs.com.ua/monitory/igrovoy-monitor-27-lenovo-r27q-30-67b4gac1ua-734855.html,August_9_Daily Draw_2_296х296
https://bt.rozetka.com.ua/ua/citizen-ca4420-13l/p430350299/,August_9_Daily Draw_3_296х296
https://rozetka.com.ua/ua/motorola-1002724/p396819822/,August_10_Daily Draw_1_296х296
